id,transcript,emotion
000730,ông dữ như vậy,angry
007898,cả ê kíp chúng tôi đã cố gắng hết sức,neutral
004154,đừng có đụng chạm tới mấy bộ phim của tôi nghe chưa,neutral
002759,tôi không muốn trở thành gánh nặng của trúc nữa,neutral
001216,quần lót bảy màu,happy
003058,à à không em xin lỗi,neutral
001941,ủa,surprise
002318,thôi con đi lên phòng nha,neutral
000682,tất cả chết hết rồi mà,neutral
006495,"trời ơi , các người đã làm cái gì vậy",angry
007064,"Yến , em có thích ăn kem không",neutral
005532,dì không phải là bà Sáu à,neutral
005035,trúc đọc như vậy,neutral
006629,à,neutral
007712,Minh Minh,neutral
006185,ừ,neutral
000157,sao mỗi lần cô tắm tôi phải đi hát lần sau tôi tắm cô cũng phải hát á,angry
006380,coi như là hoà,neutral
003169,và cũng đừng nhắc cái lũ bạn khốn nạn của tôi nữa,angry
004976,"vậy thì tốt quá rồi , xin chúc mừng",neutral
005988,tôi quả là có năng khiếu nấu ăn á,happy
002163,con uống ở dưới phòng khách,neutral
002339,"anh giúp em mà còn em nghi ngờ chửi bới nữa , rồi còn lấy cả máy ảnh máy tính của anh nữa , em định giữ máy ảnh máy tính của anh đến bao giờ hả",angry
001868,hết cách rồi,neutral
006750,ba giờ nhớ chưa,neutral
005281,vậy anh sẽ gọi điện cho em sau nha,neutral
002589,Đình Phong không hề yêu em,angry
000625,"thôi bỏ đi , đồ khùng",neutral
007421,đi lối nào vậy,neutral
006056,cô thiệt kỳ lạ,neutral
005654,"biết rồi biết rồi , đừng nhìn anh bằng đôi mắt hình viên đạn đó nữa , ý anh là nếu mà chạy bộ thì em sẽ khỏe hơn hẳn",neutral
002088,vợ chồng em trưa nay muốn mời anh tới nhà ăn cơm,neutral
005853,tôi sẽ nhớ cái tát của Trúc suốt đời luôn,neutral
007844,có thể tôi sẽ ra liền đó tôi chỉ cần vào hỏi vài thứ nhanh thôi,neutral
006724,à,neutral
003188,thật ra tất cả mọi chuyện,neutral
000221,"chính xác là ông hiều lấy xe của tôi luôn , để trúc giận tôi , chửi tôi , rồi đuổi tôi đi",angry
004540,trời đâu có dễ dàng như vậy được xin lỗi là xong sao,neutral
001487,làm sao sống nổi tới ngày thi vậy hả trời,angry
003967,mai còn phải dậy sớm làm bữa sáng nữa đó,neutral
003337,một đứa trẻ đang nằm trong bụng mẹ chắc chắn là không biết khóc,neutral
001072,tại vì tụi nó trông giống ăn mày nên gọi ăn mày thôi,angry
002335,bộ tôi nói sai hả,angry
002078,lần đầu tiên mà đi đai mưn không tốn một xu thấy tôi giỏi không,happy
003707,"dính nguyên cái hạt dưa lên mặt mà cũng không biết , đúng là mặt dày thiệt",neutral
002595,à,happy
001897,cô bận việc gì vậy,angry
000523,ủa vậy sao,surprise
001599,cái gì trúc không biết chữ hả,neutral
004129,minh minh,neutral
007657,thì là năng khiếu muộn,neutral
000395,xin lỗi,sad
004882,à anh nhớ rồi,happy
000657,thì lấy gì mà mặc,sad
003378,em quên mất ông hiệu bạn trai em à,surprise
004654,thì chắc là nước mắt tự chảy ra vậy thôi,sad
005618,thì đó ghét nhiều,angry
003617,trời ơi tiếng việt chỉ có hai bốn chữ cái là hết rồi,neutral
002001,vậy hả điều kiện gì nữa mau đi,happy
002161,trời ơi,angry
006135,"ừ , thì xong việc tôi về nhà",neutral
005016,được rồi,neutral
004435,em nghe nói hôm qua sinh nhật của anh phải không,neutral
006014,chứ cô không gọi điện thoại báo thì làm sao ba mẹ tôi biết mà chờ sẵn,angry
005245,họ bắt anh đóng giả là một con gà trống,neutral
000253,con phải chịu như vậy một tháng rưỡi nữa,angry
005834,càng nói càng quá đáng,angry
004512,tôi đưa cô đi bệnh viện nha,neutral
006030,nhưng mà làm sao,neutral
005498,đồ của tôi có những món ba bốn triệu một cái không,angry
007845,ai rè nhỏ xíu à,neutral
000770,thấy sao,neutral
003832,hiện tượng thiên nhiên,neutral
007140,"không hiểu cô ta đi đâu , mà giờ này vẫn chưa về",sad
001854,nhưng mà sao,neutral
002156,thì cũng phải dằn túi cho yên tâm thôi,neutral
003518,chúng ta đã cam kết là không xen vào chuyện riêng tư của nhau rồi còn gì,angry
006036,quên trước quên sau,neutral
007425,thấy hai đứa thật là hạnh phúc,happy
001791,cô dám chửi tôi như vậy hả,angry
001239,lần sau nếu tôi có về trễ,neutral
000640,bởi vì ba mẹ tôi,sad
005740,nhớ chưa,angry
004338,chào một ngày đặc biệt,happy
001338,đi so sánh tôi với ông hiều,angry
007323,lựa cho nên toàn sách hay không à,neutral
006139,cho thở cái đã chứ,neutral
001774,nè em có biết là tội chiếm đoạt tài sản của người khác là bị đi tù không,angry
001361,xe đạp cụt đi,neutral
004741,minh minh,neutral
004357,sao chứ,neutral
007847,anh thay đổi rất nhiều so với trước đây,neutral
007481,đưa thêm cho tui được không,neutral
006842,có tiền mà không biết cách chơi càng lòi ra cái vẻ nhà quê thôi,neutral
005335,cô ấy đã giải thích cho ba mẹ mọi chuyện rồi chứ ạ,neutral
008001,có phải cô đang muốn làm trò cười không hả,neutral
000866,vì đột ngột quá tôi đã rất sốc,surprise
001973,không cần,sad
007838,vui quá trời luôn á,happy
008216,"vậy là sao , không nghe thấy anh nói à , em không đi đâu hết , em phải dọn nhà , hôm nay là ngày tổng vệ sinh mà",angry
006673,có phải cô thích ngồi đó không,neutral
001497,óc của cô không phải là óc người,angry
004303,cái gì,surprise
005088,cô ấy bịa đặt hết ạ,sad
007050,mấy tuổi rồi,neutral
002742,nói chuyện với anh hiều sao rồi,neutral
005539,Trúc không có ở nhà,neutral
002802,thôi để tôi lựa cho cô đứng yên đó,neutral
004288,tại sao cô biết nhà tôi,angry
001410,em khỏi thề,angry
008315,tôi nuôi cô ăn,neutral
006812,đó là bà xã của tôi bây giờ,neutral
002496,là đủ,neutral
005388,cứ trả lời thẳng luôn là không cho ở chung đi,angry
006089,tôi không cần ai dạy dỗ tôi hết,angry
001351,bởi vì đối với bất kỳ phụ nữ nào,neutral
000650,cô dám nói với tôi vậy hả,angry
004776,"thì không làm được cái gì đâu , cho nên đừng tự hành hạ mình nữa",neutral
000888,ngồi ở đây coi bộ mát mẻ hơn đó,angry
001186,thì làm công việc nội trợ để trừ nợ,neutral
003908,buông tui ra,angry
003499,"còn nam không ra gì , bởi vì nam được sinh ra từ những người không ra gì phải không",angry
001772,không có gì không ổn đâu ạ,neutral
001538,có chết cũng không bao giờ tôi muốn gặp lại hai người đó nữa,neutral
000491,rồi tôi chịu thua cô luôn á ê,neutral
001192,tôi biết tôi sai tôi có lỗi rồi,neutral
003516,góc đằng kia kìa,angry
007634,tôi nghi ngờ ngay là cô có vấn đề rồi,angry
003385,nhẫn cưới đâu rồi,neutral
005338,mà nè anh trả công cho em mười ngàn chịu không,neutral
007583,"em nói bị buồn nôn , em có bầu",surprise
005195,cô là người nói dối,neutral
001605,anh nghĩ sao vậy,neutral
006691,tôi cũng đâu có ngờ nó đê tiện vậy á hả,sad
001489,thiếu nợ,neutral
003021,cảm ơn,neutral
002038,tui xin cô á,angry
000325,cho dù không gặp,neutral
003183,thôi trúc đi vô ngủ trước đi,neutral
006200,chứ không tối qua á,neutral
006420,bởi vậy,neutral
003814,"ừ , mặc kệ tôi",angry
001378,câu thứ hai,neutral
008186,dạ vẫn con đây,neutral
005950,Trúc,neutral
004028,là cô tự động chui vô giường tôi ngủ,angry
001196,thì tại tôi nhìn không có quen,neutral
008322,mà tôi không bao giờ đem tặng nồi cơm của tôi cho người khác đâu,angry
000277,à có phải mang cái tủ ngoài kia vô cho trúc không,neutral
002540,cô đi thiệt hả,angry
004542,đồ ăn quanh trường cô thấy cũng được lắm mẹ cứ yên tâm nha,neutral
000676,tôi nói cảm ơn trúc đó,happy
005932,tại sao tụi mày làm như vậy,angry
003203,đó,neutral
002769,cứ làm như ai cũng có khả năng viết văn không bằng á,neutral
002969,à cô nói là cô muốn mời tôi đi cà phê để xin lỗi và giải thích,neutral
001142,làm gì cho hết chán bây giờ đi,neutral
003409,bà nội kêu hả,surprise
001982,rồi tôi xin hứa,happy
006574,dữ quá trời dữ luôn,happy
003941,trúc gặp ông hiều sao rồi,neutral
001757,là lên lâm đồng chứ sao,angry
003633,chống tay xuống sàn nên bị trật tay á,neutral
003813,còn không thèm gọi điện về nhà nữa chứ,sad
006309,ủa vậy Trúc có ừ không,neutral
005185,mang theo cả đồ đạc nữa,neutral
007405,xong rồi à,neutral
004773,chính ba mẹ đuổi con ra khỏi nhà bây giờ ba mẹ tới đây là sao,angry
001321,chứ không phải gió thường luôn,neutral
005371,họ đánh cô tui nhảy vô can tui cũng bị đánh mà,angry
003242,không biết,neutral
003333,cứ như vậy thì,neutral
004941,tại sao hai người lại nỡ làm vậy đối với tôi,sad
000767,tôi đâu có ý định lừa trúc đâu,neutral
005225,làm sao mà không đậu được,happy
003900,đi thôi,sad
004318,thì tôi tuyệt giọng thật rồi,sad
002096,mẹ ngồi xuống đây chuyện gì,neutral
001401,nè,neutral
004482,làm nghệ thuật,neutral
003372,mà trúc có kể chuyện của tôi không,neutral
004076,nói gì là sao,surprise
000468,ha ha đúng rồi,happy
003565,trời ơi cuốn đó dày lắm tôi không đọc đâu,neutral
004149,hai chân tui muốn gãy rồi nè,sad
001177,thôi tôi đi trước nha,happy
007523,ăn hai người vui hơn ngon hơn nhiều,happy
000724,không có phần cho cô đâu,neutral
004509,"nếu bên nào tiết lộ hợp đồng này cho người thứ ba biết , thì coi như hợp đồng sẽ vô hiệu và hủy bỏ",neutral
003571,đâu cần phải trốn nữa đúng không,happy
000478,minh minh,neutral
000241,tắt đi,angry
005794,"mà nè , nhớ dọn dẹp bàn ăn và rửa chén bát sạch sẽ rồi mới đi ngủ đó",neutral
006395,ừ được rồi,neutral
007628,con không có xài hết đâu,neutral
004633,cô mới khen hay mà,sad
000908,mình phải làm sao đưa tay ra đưa tay vô hay phải thế nào,happy
002912,biết ngay mà thằng khốn,angry
006271,ờ khoảng bốn kí rưỡi không,neutral
007584,được chưa,angry
003494,cảm ơn trúc,happy
007005,trời ơi,surprise
000539,tôi muốn cưới cô làm vợ của tôi,neutral
006273,mà tôi thấy á xe này đẹp hơn xe cũ á,neutral
004563,tìm được nhà đó rồi,neutral
001721,cô đúng là đồ độc ác và những tâm,neutral
007587,Trúc,neutral
003231,"ừ , vậy thì làm xong thì tới khu giấc mơ",neutral
002944,minh minh,neutral
001225,"bây giờ mà có tổ chức thi đấu cờ ca rô , chắc chắn em và thầy giật giải nhất và giải nhì luôn á",happy
000249,ủa mà sao nãy trúc không bán luôn đống đồ đi,surprise
007959,tôi xin lỗi vì tôi mà cô với anh hiều phải cãi nhau,sad
001212,sẽ có nhiều người xem nó và thích nó,neutral
000372,tôi,sad
006363,cho tôi mượn một trăm ngàn được không,sad
000002,lại thêm một câu vô duyên nữa,happy
007736,ủa khóc hả,neutral
005544,chưa kể tiền bo nữa,neutral
008274,à hoặc là ví dụ cô nói với tôi là,neutral
001184,ờ thì sao,happy
003143,và có giác quan thứ sáu còn dễ tin hơn,neutral
005547,về Sài Gòn rồi tính,neutral
000269,tưởng mơ,neutral
006431,"đúng vậy đó , thôi anh đi trước nha",neutral
004584,"chẳng lẽ , anh vô phòng ngủ , làm em giận dữ như vậy sao",surprise
008247,dậy đi,neutral
000574,thầy thi điểm cao quá,happy
000636,lúc nãy định đùa một chút cho vui thôi,neutral
001627,"tôi có cái này cho cô xem , hay lắm đó",happy
002927,con gà sao được ngủ quá bình minh hả,angry
005393,thì tôi sẽ có ngay triệu rưỡi trả cho cô thôi mà,neutral
006434,thế tôi lỡ tôi bán rẻ quá bị cô la thì sao,neutral
006148,"anh không ăn , đi cắm trại , ai cho phép em hủy buổi cắm trại này chứ",angry
001827,ngô đồng vẫn chưa tin à,neutral
004016,câu ấy đầy ẩn ý,neutral
005755,trúc mà không chăm chỉ,neutral
006618,quần áo cũ bán chắc là mất giá lắm,neutral
000278,rồi cô nói cho tôi một câu,neutral
000362,sau đó thì tôi sẽ bán bớt quần áo đi,sad
006901,cô diễn viên mà chị Mộng nói,neutral
001626,cho con xin lỗi,neutral
004195,chẳng qua là tôi bận làm việc suốt cả ngày hôm nay,angry
007801,"một diễn viên giỏi khi đứng trước ống kính, là phải kiểm soát được từng centimet trên cơ thể của mình",neutral
002941,anh đã yêu em từ lâu lắm rồi,neutral
003868,với lại mắc mưa cả đêm nữa,sad
000440,năm trăm tấm,neutral
002615,từ thiện,neutral
002034,kỳ vậy,neutral
007003,trời,neutral
004767,ai ngờ là thiệt,surprise
005341,người tiết lộ sẽ phải bồi thường một cách thỏa đáng cho người kia,neutral
008011,và làm thêm một việc,neutral
006623,nếu muốn được yêu bởi người cô yêu thì cô phải có niềm tin,neutral
003610,chúng ta sẽ cùng nhau chạy bộ vào mỗi buổi sáng,neutral
000380,ngày mốt là đám cưới đó,happy
006246,chứ phân tích cái quái gì,angry
001912,năm đó ai chẳng để như vậy,neutral
007688,mà mình bán sách ở đây á,neutral
007065,"anh Phong , vợ em có bầu rồi",happy
007487,tôi ăn hết nổi rồi,sad
004759,vậy con đưa tiền trả ơn cô ấy,neutral
004372,nhìn cái gì mà nhìn,angry
004128,vì ông hiều bỏ đi,sad
004375,tuy vô duyên,happy
005013,đây là nhà cô hả,angry
006932,đúng đúng chính xác Ngô Đồng hiểu vấn đề rất là nhanh,happy
006889,cô ấy bị kẹt xe mà,neutral
008041,hèn chi,neutral
000299,anh đình phong,surprise
003720,hứa là phải tới đó nha,happy
001544,ê,neutral
005806,chào em,neutral
000624,trời ơi kiểu này chết chắc,angry
001814,đâu chỉ một lần đâu,angry
005300,lại còn mát mẻ nữa,neutral
007173,em không thể gặp anh Đình Phong được,neutral
003631,ba,neutral
007829,dạ được,neutral
003651,cô để nó ở đó hả,surprise
005475,tao ở đây làm gì á,angry
006086,còn tùy vào tửu lượng của từng người nữa,neutral
005859,cô bị sao vậy,angry
000441,thằng chó nam dựa hơi đàn bà,neutral
005952,"tôi chỉ muốn biết , tại sao mọi chuyện lại bất ngờ như vậy chứ , cô đùa giỡn với tôi phải không",angry
008316,Trúc nhìn kỹ tôi đi tôi thân tàng ma dại suýt chết mà họ có thèm quan tâm đâu,angry
003919,ờ tôi cũng không biết viết,neutral
006092,"em nói rằng , anh không hiểu gì về em hết , cho nên , anh đã tìm hiểu , và đi hỏi khắp mọi nơi luôn đó",neutral
004423,chơi gì mà ghê vậy,surprise
001960,như vậy có nghĩa là tôi vừa thông minh vừa đáng yêu đúng không,happy
004753,cuốn này mới tám ngàn cuốn này ba ngàn,neutral
000035,cái gì,happy
002517,khiến con suýt chết vì đói vì lạnh vì bệnh hay sao,angry
006525,anh mặc đi dự tiệc ra mắt tạp chí của công ty Đình Phong em cũng đi đúng không,neutral
002332,chứ nhà tôi địa chỉ khó tìm lắm á,neutral
005455,tui đi ra ngoài đây,neutral
001581,dậy dậy đi nhanh lên,angry
000630,tôi cũng siết chặt tay cô ấy và nhìn thẳng vào đôi mắt nâu,happy
001366,thi xong ba nhớ đưa lại cho con cái thẻ atm nha,neutral
006822,không,neutral
007088,em làm cái gì vậy,angry
005206,bị khùng hay sao mà ngồi cười hoài vậy,neutral
007488,chứ có bảo đọc trộm thư của người khác đâu mà Trúc lo,neutral
001610,chụp tại nhà anh luôn mười giờ sáng,neutral
002395,dạ con chào dì,neutral
005605,lỡ rồi tới luôn đi,angry
003676,ý câu hỏi là một cô tiết kiệm đó hả trùm sò có nghĩa là tiết kiệm đó,neutral
007999,thôi nha cưng bai cưng,happy
007439,chắc phải đổi số điện thoại quá,angry
007427,sao em lo quá thầy ơi,neutral
005431,giường bên trong đã chuẩn bị sẵn,happy
006633,có chắc là mất không,neutral
006126,chết tôi rồi,neutral
005408,"ý tôi á là sao số tôi á , kiểu nào cũng quắc hết trơn vậy , à cũng bế tắc hết trơn á",neutral
000806,không chẳng còn ai hết,sad
007819,muốn chọc trúc cho trúc chửi tôi đúng không,angry
004083,thiệt chứ,surprise
006798,"nhưng mà điều mà tôi thích nhất , đó là cô ấy rất thông minh",neutral
006158,tôi thua là cái chắc rồi,neutral
002110,tội xâm nhập gia cư bất hợp pháp là tội không nhẹ đâu,angry
002330,là mẹ tôi mang bao tay sao ở đây không có bao tay vậy,neutral
008038,một đứa trẻ ra đời là một sự may mắn,neutral
000969,thiệt mà,angry
001635,mà đến nhờ tụi nó giúp đỡ,neutral
004664,em bị bị khùng đúng không,angry
005786,đúng là một lũ kinh tởm,angry
004505,cô đừng có kể cái chuyện này cho người khác nghe biết chưa,neutral
004552,mẹ,happy
004996,"về nhà mau đi , tại sao lại hỏi tại sao",angry
000098,càng ngày càng thấy khó sống,angry
004234,họ nói sao,neutral
006319,"không có đâu , anh không có mệt , em mang theo lều chưa",neutral
004110,anh chỉ biết anh muốn nhân vật nữ chính phải là một cô gái thật đẹp,neutral
006457,đang làm gì ở đây vậy,neutral
001932,tui xin lỗi,neutral
002732,tôi ra ngoài đây,neutral
005717,dạ y chang như sinh đôi cùng trứng vậy đó,happy
005804,chắc khoảng mười ngày nữa,neutral
006416,dậy đi,angry
002263,anh hiều nổi vĩnh biển,sad
007899,vẫn nhớ tới cô,sad
006278,anh tin như vậy,neutral
003641,cậu cứ ở đó,neutral
003452,đừng giả vờ nữa dọn dẹp sạch sẽ đi,angry
007803,còn lấy chai rượu của ba ra uống,neutral
004641,a lô,neutral
003153,cái láp tốp ở đây,neutral
006443,mà chị biết không,neutral
001705,"em có thể ngủ , khi nghe nhạc cổ điển trong vòng năm phút",neutral
007449,xe cô sao cô không đi sao lại để tôi đi,neutral
006925,bây giờ chỉ còn đường về năn nỉ xin tiền bà già thôi,neutral
002859,một tháng xa nhau đã giúp anh nhận ra rằng,neutral
000693,tôi chết đến nơi rồi mà cô còn nói giỡn với tôi nữa,angry
004131,đi ăn chả cá lã vọng hả,surprise
005071,cho nên tôi cần tiền để chuộc đầu ra,sad
005307,"lúc đầu , tôi cũng định lấy hai mươi lăm bông thôi , nhưng mà người bán hoa gói lộn , tôi định không lấy , nhưng mà thấy tội nghiệp người ta quá à",neutral
008284,dì Hoa đóng phim lâu chưa vậy,neutral
002581,bởi vì lâu rồi không đi chơi nên cũng dự định là tối hôm qua,neutral
005409,"nói gì là nói gì , tôi không hiểu",neutral
002990,tôi đồng ý cô vô đi,neutral
003109,tôi suy nghĩ,neutral
003210,"ngủ chung hả , ngủ chung thì ngủ chung",neutral
004491,tại sao,angry
001021,hai kẻ du côn đó cũng được gọi là bạn hay sao,neutral
004453,dạ tổng cộng mười sáu ngàn,neutral
005560,thì anh cứ nói đi tôi vừa lau nhà vừa nghe cũng được,neutral
004772,chứ tự nhiên đang xài tiền thoải mái,neutral
007068,đi về,angry
007787,chứ còn hồi nhỏ á tôi đọc sách cũng dữ lắm á,happy
002412,rồi,neutral
006432,không tới quậy tụi mình nữa còn nếu không á,neutral
005709,cô xem tôi làm đây,neutral
007011,chuyện này quan trọng lắm,neutral
001564,một mình thì dễ thoát thân hơn là với cái mớ đồ lằng nhằng này đúng không,neutral
001043,khó tin quá,surprise
007242,"bởi vì đó sẽ là một động lực để tôi cố gắng hơn nữa , trong những dự án phim tiếp theo",neutral
004298,cô bị sao vậy,surprise
008055,ừ thì mười một giờ,neutral
004790,được rồi đừng lau nữa,neutral
007281,cả cô cũng không thèm muốn nhìn mặt tôi,angry
003746,lên xe đi,neutral
007429,tôi đâu có biết ở đâu bán cơm mà mua,neutral
001600,vậy hả lúc đầu tôi nói năm mươi ngàn lận đó,angry
006919,ê,neutral
003998,rồi lỡ trong thời gian làm việc,neutral
007512,nhưng bây giờ chưa phải lúc,neutral
004082,trúc làm tôi áy náy quá,neutral
007194,Trúc thấy chưa,angry
007165,đây là nhà của mấy người hả,angry
002833,chắc tôi uống gì tôi biết mà,neutral
001080,"sao hỏi nhiều quá vậy , bực mình",angry
004069,tôi thà chết chứ không làm chuyện đó đâu,angry
008025,ừ thì cô cũng biết là tôi mới đi xe đạp thôi mà đúng không,neutral
003817,anh chở tôi đi đâu vậy,angry
006848,"tôi có hẹn với bảo yến , có thể về trễ đó",neutral
007221,chắc nó bị hư luôn rồi,neutral
003831,ít ra sẽ không có sờ can đan nữa,neutral
000737,ờ bốn chục ngàn hả,happy
007142,bổ sung,neutral
001780,nãy giờ cô nói nghiêm túc đó hả,neutral
006343,cảm ơn,neutral
002937,"đã nói là đừng có chờ tôi rồi mà , buồn ngủ thì đi ngủ đi",angry
001266,ước mơ của anh được trở thành một người chụp ảnh khỏa thân nổi tiếng đó,happy
003264,ba vừa đi khỏi là thầy cũng té liền,neutral
003375,thôi bài này đi ha,happy
000228,nhưng mà tôi hết cách rồi,sad
006022,thôi Trúc để chén dĩa tui rửa cho,neutral
008103,trời ơi sao vậy cầm lấy đi,neutral
002311,đúng là óc gà nên suy nghĩ lâu mà,neutral
000365,chuyện tối qua chưa giải quyết xong mà còn thêm chuyện sáng nay,angry
005361,ủa tại sao vậy,surprise
004177,cô diễn rất xuất sắc,neutral
006920,ê nấu ngon không được ăn nha,happy
000651,mà đi lấy xe ở đâu vậy,surprise
007680,ai cho cô ngồi đây vậy hả,angry
005701,à mà quên nữa,neutral
000906,vật anh lấy dao làm gì,angry
007030,muốn quên lắm nhưng đâu có quên được,sad
004065,về một trăm ba lăm đường nguyễn huệ,neutral
007812,xài mười đồng bậy cả mười không có đồng nào xài đúng hết,sad
005367,cùn,neutral
007085,cô nói năng như một kẻ loạn óc vậy,angry
002807,nhưng tự hỏi nếu tôi là con ruột của họ thì họ cư xử với tôi tồi tệ vậy không,angry
006931,"tôi đâu kiếm chuyện , bản tính tôi vậy mà , cô không biết sao",angry
002973,à,neutral
003529,cám ơn,neutral
005457,không hiểu đã xảy ra chuyện gì trong đầu cô ấy,sad
006449,rồi cho đến khi cô nói chuyện ly dị,sad
001330,ừ,neutral
004059,ai thèm mê cô chứ,surprise
003431,bị thiệt mà,neutral
005557,gửi cô gái bán sách đáng ghét,neutral
007531,"a lô, anh Cường hả, dạ dạ em nghe",neutral
004089,mở cửa giùm tôi đi,neutral
006962,sao lại phải hát,neutral
001869,quá uổng quá uổng,neutral
007045,hết biết cô luôn,neutral
003432,em mà không hôn lẹ là chàng trai sẽ tỉnh dậy đó,neutral
004877,bà nội la cô hả,neutral
002951,chứ bán một cuốn sách mà lời hai ba ngàn một cuốn,neutral
001606,cả cô mà cũng không thèm tâm sự với tôi sao,angry
005573,Trúc ơi Trúc,neutral
006344,bộ cô thích trưng hoa héo ở trong nhà hả,angry
007413,"xin việc thì khó, mà làm được chắc gì để yên ổn với tụi thằng Khánh con Diệp, tụi nó biết chỗ tui làm, thế nào cũng tới phá nữa cho mà coi",neutral
003174,trời đó là giá mua thôi đó,neutral
006639,"trời, em mặc một cái áo ngực với cái váy, thì có khác nào mặc đồ tắm đâu, chụp vậy đâu có ai cấm",neutral
005387,cô là ai tìm tôi có chuyện gì vậy,neutral
003336,tui nằm mơ tui thấy bà bị bệnh tui mới nói bà bị bệnh,angry
007784,cô có biết là Đình Phong sẽ trở về việt nam chứ,neutral
006754,thì tôi lấy tiền trả cô luôn,neutral
003114,anh phải đem cất mấy thứ này vô phòng,neutral
006546,từ từ người ta trả,neutral
004374,cô dám chửi tôi như vậy hả,angry
000115,sao vậy,neutral
000662,tại sao mình lại,surprise
001172,minh minh hả,angry
007716,anh có chuyện muốn nói với em,neutral
006208,và nghĩ cho rằng,neutral
006179,đẹp ha,happy
000902,tôi với cô ấy tới chỗ ngày xưa mà chúng tôi thường hay ra chơi,neutral
003423,cũng may trúc không biết chữ,neutral
